frame_id,camera,local_track_id,global_id,x1,y1,x2,y2,width,height,center_x,center_y,confidence
8,broadcast,11,11,1552,490,1618,587,66,97,1585.0,538.5,0.8421838283538818
8,broadcast,14,14,808,565,876,666,68,101,842.0,615.5,0.9147713780403137
8,broadcast,15,15,0,505,41,610,41,105,20.5,557.5,0.6760829091072083
8,tacticam,3,12,1116,479,1158,542,42,63,1137.0,510.5,0.9303351640701294
8,tacticam,10,3,299,791,346,866,47,75,322.5,828.5,0.9301108121871948
8,tacticam,11,14,278,434,314,498,36,64,296.0,466.0,0.9270505905151367
8,tacticam,1,9,298,515,347,579,49,64,322.5,547.0,0.921419620513916
8,tacticam,7,29,1665,460,1699,524,34,64,1682.0,492.0,0.9190050959587097
8,tacticam,6,22,1130,347,1160,404,30,57,1145.0,375.5,0.9160401225090027
8,tacticam,8,8,1298,811,1348,889,50,78,1323.0,850.0,0.9156675338745117
8,tacticam,12,19,721,344,757,398,36,54,739.0,371.0,0.9139024019241333
8,tacticam,18,7,1479,223,1513,272,34,49,1496.0,247.5,0.9125922322273254
8,tacticam,2,15,1713,322,1739,384,26,62,1726.0,353.0,0.9118518829345703
8,tacticam,19,27,553,92,590,140,37,48,571.5,116.0,0.9089422225952148
8,tacticam,14,5,942,268,966,327,24,59,954.0,297.5,0.9066702127456665
8,tacticam,4,20,919,197,957,245,38,48,938.0,221.0,0.905966579914093
8,tacticam,17,31,429,204,463,262,34,58,446.0,233.0,0.9052282571792603
8,tacticam,13,10,754,394,783,454,29,60,768.5,424.0,0.8994963765144348
8,tacticam,5,2,868,576,912,640,44,64,890.0,608.0,0.8970863819122314
8,tacticam,15,11,1006,147,1029,195,23,48,1017.5,171.0,0.8947729468345642
8,tacticam,16,4,822,243,858,295,36,52,840.0,269.0,0.8930531144142151
8,tacticam,21,16,893,156,927,205,34,49,910.0,180.5,0.8924666047096252
8,tacticam,20,17,864,148,889,190,25,42,876.5,169.0,0.8834065794944763
9,broadcast,14,14,817,570,878,670,61,100,847.5,620.0,0.9069094657897949
9,broadcast,3,3,616,752,668,880,52,128,642.0,816.0,0.903045117855072
9,broadcast,7,7,1664,452,1699,534,35,82,1681.5,493.0,0.8992465734481812
9,broadcast,4,4,1250,464,1307,559,57,95,1278.5,511.5,0.8958069086074829
9,broadcast,5,5,897,577,956,665,59,88,926.5,621.0,0.8879802227020264
9,broadcast,12,12,1578,566,1640,664,62,98,1609.0,615.0,0.8872870802879333
9,broadcast,10,10,1755,594,1823,700,68,106,1789.0,647.0,0.8853731751441956
9,broadcast,9,9,844,613,897,727,53,114,870.5,670.0,0.8779076933860779
9,broadcast,8,8,1497,431,1531,515,34,84,1514.0,473.0,0.8660465478897095
9,broadcast,11,11,1563,497,1601,588,38,91,1582.0,542.5,0.8593044281005859
9,tacticam,10,3,297,789,347,865,50,76,322.0,827.0,0.9295868873596191
9,tacticam,3,12,1115,479,1156,543,41,64,1135.5,511.0,0.9276330471038818
9,tacticam,6,22,1126,347,1162,405,36,58,1144.0,376.0,0.9266200661659241
9,tacticam,8,8,1302,811,1348,889,46,78,1325.0,850.0,0.9228001832962036
9,tacticam,7,29,1663,460,1702,524,39,64,1682.5,492.0,0.921112060546875
9,tacticam,2,15,1710,322,1742,385,32,63,1726.0,353.5,0.9205734729766846
9,tacticam,11,14,281,431,316,497,35,66,298.5,464.0,0.9188441634178162
9,tacticam,16,4,818,243,850,296,32,53,834.0,269.5,0.9177762269973755
9,tacticam,1,9,298,515,344,579,46,64,321.0,547.0,0.9177291393280029
9,tacticam,12,19,718,342,756,397,38,55,737.0,369.5,0.9147394299507141
9,tacticam,19,27,557,95,589,141,32,46,573.0,118.0,0.9137499332427979
9,tacticam,18,7,1480,224,1513,274,33,50,1496.5,249.0,0.9061108231544495
9,tacticam,17,31,427,204,458,262,31,58,442.5,233.0,0.905754566192627
9,tacticam,15,11,1001,147,1032,195,31,48,1016.5,171.0,0.905035674571991
9,tacticam,14,5,944,268,964,327,20,59,954.0,297.5,0.9041632413864136
9,tacticam,5,2,862,574,902,640,40,66,882.0,607.0,0.90381920337677
9,tacticam,4,20,919,200,957,248,38,48,938.0,224.0,0.8975327610969543
9,tacticam,9,21,344,370,385,422,41,52,364.5,396.0,0.8971510529518127
9,tacticam,20,17,859,148,890,188,31,40,874.5,168.0,0.8961426615715027
9,tacticam,21,16,893,155,926,205,33,50,909.5,180.0,0.8930699825286865
9,tacticam,13,10,751,392,784,453,33,61,767.5,422.5,0.8898429274559021
10,broadcast,4,4,1255,466,1317,559,62,93,1286.0,512.5,0.919333279132843
10,broadcast,7,7,1661,452,1711,536,50,84,1686.0,494.0,0.9118945002555847
10,broadcast,2,2,1536,722,1631,847,95,125,1583.5,784.5,0.9116482734680176
10,broadcast,14,14,829,571,878,665,49,94,853.5,618.0,0.9004700779914856
10,broadcast,10,10,1762,593,1830,704,68,111,1796.0,648.5,0.9000867009162903
10,broadcast,8,8,1498,432,1538,518,40,86,1518.0,475.0,0.8985379338264465
10,broadcast,3,3,623,752,667,882,44,130,645.0,817.0,0.8944726586341858
10,broadcast,9,9,849,614,907,729,58,115,878.0,671.5,0.8819858431816101
10,broadcast,12,12,1586,569,1649,670,63,101,1617.5,619.5,0.8763935565948486
10,broadcast,5,5,920,578,959,670,39,92,939.5,624.0,0.8631173968315125
10,broadcast,11,11,1565,498,1596,589,31,91,1580.5,543.5,0.8630402684211731
10,tacticam,10,3,292,785,346,863,54,78,319.0,824.0,0.9354678988456726
10,tacticam,3,12,1116,480,1153,544,37,64,1134.5,512.0,0.928466260433197
10,tacticam,6,22,1124,348,1165,406,41,58,1144.5,377.0,0.9280955195426941
10,tacticam,8,8,1306,811,1346,888,40,77,1326.0,849.5,0.9249752759933472
10,tacticam,7,29,1663,461,1703,524,40,63,1683.0,492.5,0.9227073788642883
10,tacticam,16,4,816,242,851,295,35,53,833.5,268.5,0.9215947389602661
10,tacticam,15,11,999,146,1034,194,35,48,1016.5,170.0,0.9206873774528503
10,tacticam,2,15,1704,322,1744,386,40,64,1724.0,354.0,0.9170146584510803
10,tacticam,5,2,857,576,896,640,39,64,876.5,608.0,0.9146551489830017
10,tacticam,19,27,558,95,585,141,27,46,571.5,118.0,0.9122969508171082
10,tacticam,11,14,284,429,317,495,33,66,300.5,462.0,0.9118126630783081
10,tacticam,17,31,426,203,456,262,30,59,441.0,232.5,0.9079204201698303
10,tacticam,18,7,1480,226,1512,273,32,47,1496.0,249.5,0.9016060829162598
10,tacticam,12,19,716,343,753,397,37,54,734.5,370.0,0.8932712078094482
10,tacticam,1,9,297,514,326,579,29,65,311.5,546.5,0.8743371367454529
10,tacticam,4,20,922,200,952,248,30,48,937.0,224.0,0.8645999431610107
10,tacticam,21,16,893,156,921,205,28,49,907.0,180.5,0.8641746640205383
11,broadcast,8,8,1499,433,1547,519,48,86,1523.0,476.0,0.9268084168434143
11,broadcast,4,4,1258,466,1328,560,70,94,1293.0,513.0,0.9257209897041321
11,broadcast,2,2,1536,719,1625,846,89,127,1580.5,782.5,0.9157811999320984
11,broadcast,7,7,1655,452,1719,532,64,80,1687.0,492.0,0.9149947762489319
11,broadcast,10,10,1778,596,1834,704,56,108,1806.0,650.0,0.904672384262085
11,broadcast,14,14,834,570,879,662,45,92,856.5,616.0,0.9024192690849304
11,broadcast,3,3,628,749,672,878,44,129,650.0,813.5,0.8994535803794861
11,broadcast,11,11,1561,496,1596,576,35,80,1578.5,536.0,0.8947885632514954
11,broadcast,9,9,852,610,916,721,64,111,884.0,665.5,0.8939254283905029
11,broadcast,12,12,1592,566,1647,670,55,104,1619.5,618.0,0.8854153156280518
